AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
27783706,"2026-01-10 23:58:52","2026-01-10 23:58:52",E011CC,Argentina,Argentina,LV-AGL,,,,,,Beech,BE35,"Beech Bonanza 35",D-1138,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BE35
27782843,"2026-01-10 23:46:26","2026-01-10 23:46:26",C07D43,Canada,Canada,C-GVLI,,,,,,ICA-Brasov,IS28,"ICA-Brasov IS-28 B2",67,,,,,,Private,,,1977,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-IS28
27782346,"2026-01-10 23:38:54","2026-01-10 23:38:54",46147D,Finland,Finland,OH-HTT,,,,,,Robinson,R44,"Robinson R44 Astro",0315,,,,,,Private,,,1997,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-R44
27781787,"2026-01-10 23:30:52","2026-01-10 23:30:52",A7FC79,"United States","United States",N61312,,,,,,Vultee,VALI,"Vultee SNV-2 Valiant",79-596,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-VALI
27781247,"2026-01-10 23:22:02","2026-01-10 23:22:02",04C88A,Kenya,Kenya,5Y-SLH,,,,,,Cessna,C208,"Cessna 208 B",208B2360,,,,,,"Safari Link Aviation",,,2012,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C208
27780699,"2026-01-10 23:13:23","2026-01-10 23:13:23",AA242F,"United States","United States",N75221,,,,,,Boeing,ST75,"Boeing Stearman A75N1 PT-17 Kaydet",75-1956,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ST75
27778488,"2026-01-10 22:48:21","2026-01-10 22:48:21",4AA72B,Sweden,Sweden,SE-IYK,,,,,,Lake,LA4,"Lake Buccaneer LA-4-200",901,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-LA4
27774439,"2026-01-10 21:55:47","2026-01-10 21:55:47",A26259,"United States","United States",N25277,,,,,,Mil,MI8,"Mil Mi-8 MT",108M04,,,,,,"Delaware Corporation",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-MI8
27773417,"2026-01-10 21:38:13","2026-01-10 21:38:13",C09BF6,Canada,Canada,C-IHBP,,,,,,DTA,ULAC,"DTA Dynamic 582",5235922,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
27773317,"2026-01-10 21:38:02","2026-01-10 21:38:02",AD57BD,"United States","United States",N959SY,,,,,,"Advanced Aviation",BUCA,"Advanced Aviation Buccaneer",B2B-K021,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BUCA
27772919,"2026-01-10 21:24:44","2026-01-10 21:24:44",4B43E2,Switzerland,Switzerland,HB-ZSK,,,,,,Eurocopter,AS50,"Eurocopter Squirrel AS.350 B3",4736,,,,,,"Helipool GmbH",,,2009,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-AS50
27772869,"2026-01-10 21:24:10","2026-01-10 21:24:10",A6E1B5,"United States","United States",N5420C,,,,,,"Textron Aviation",C208,"Textron Aviation 208 EX",208B5420,,,,,,"Textron Aviation Inc",,,2017,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C208
27772702,"2026-01-10 21:22:11","2026-01-10 21:22:11",4B2F96,Switzerland,Switzerland,HB-SAO,,,,,,Mudry,CP10,"Mudry CAP-10 B",123,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CP10
27772529,"2026-01-10 21:20:14","2026-01-10 21:20:14",A17464,"United States","United States",N193MA,,,,,,Reproduction,NPOR,"Reproduction Nieuport 11 Scale Replica",2A,,,,,,Private,,,1996,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-NPOR
