AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
8913887,"2025-03-28 04:11:34","2025-03-28 04:11:34",A5809C,"United States","United States",N4537P,,,,,,Piper,PA27,"Piper PA-23 Aztec 250",27-41,,,,,,Private,,,1960,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA27
8913840,"2025-03-28 04:08:37","2025-03-28 04:08:37",A143AB,"United States","United States",N18042,,,,,,Cessna,C150,"Cessna 150L",15073754,,,,,,Private,,,1972,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C150
8913622,"2025-03-28 03:54:44","2025-03-28 03:54:44",AD3366,"United States","United States",N95ME,,,,,,Cessna,C180,"Cessna 180K Skywagon 180",18052783,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C180
8913567,"2025-03-28 03:51:18","2025-03-28 03:51:18",A26FCD,"United States","United States",N256WS,,,,,,"Quad City",ULAC,"Quad City Challenger II",CH2-0199-1840,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
8913184,"2025-03-28 03:18:50","2025-03-28 03:18:50",A1C05A,"United States","United States",N21151,,,,,,Stinson,S10,"Stinson Voyager 105 / HW-75",7009,,,,,,Private,,,1939,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-S10
8913089,"2025-03-28 03:11:34","2025-03-28 03:11:34",A87201,"United States","United States",41524,,,,,,AgustaWestland,A139,"AgustaWestland AW.139 P",41524,,,,,,"Royal Thai Army",,,2016,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
8912976,"2025-03-28 03:02:27","2025-03-28 03:02:27",403B25,"United Kingdom","United Kingdom",ZZ194,,,,,,Hawker,HUNT,"Hawker Hunter F.58",41H-691770,,,,,,"Hawker Hunter Aviation",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-HUNT
8912859,"2025-03-28 02:54:27","2025-03-28 02:54:27",A36AB3,"United States","United States",N31902,,,,,,Piper,P28A,"Piper PA-28 161 Warrior II",28-7816593,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
8911140,"2025-03-28 01:12:01","2025-03-28 01:12:01",A9B13F,"United States","United States",N7231U,,,,,,"Aero Vodochody",L39,"Aero Vodochody L-39 C",530545,,,,,,Private,,,1975,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-L39
19751,"2022-03-24 23:33:54","2025-03-28 01:06:36",484A12,Netherlands,Netherlands,,,,,,,,-TWR,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,Missing,,,,,0,0,0,0,0,GEN--TWR
8910851,"2025-03-28 00:54:42","2025-03-28 00:54:42",4BAD85,Turkey,Turkey,TC-KLE,,,,,,Bombardier,CL60,"Bombardier Challenger 605",5964,,,,,,Private,,,2013,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-CL60
8910520,"2025-03-28 00:35:41","2025-03-28 00:35:41",141896,Russia,Russia,RA-06294,,,,,,Mil,MI26,"Mil Mi-26 T",34001212123,,,,,,Skol,,,1987,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-MI26
8910158,"2025-03-28 00:15:09","2025-03-28 00:15:09",A18934,"United States","United States",N1987D,,,,,,"Quad City",ULAC,"Quad City Challenger II Special",0501-CW-0755,,,,,,Private,,,2002,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
8909922,"2025-03-28 00:00:29","2025-03-28 00:00:29",A619FC,"United States","United States",N49205,,,,,,Cessna,C152,"Cessna 152",15281192,,,,,,Private,,,1977,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C152
