AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
28120385,"2026-01-13 23:52:29","2026-01-13 23:52:29",A52DC4,"United States","United States",N4326P,,,,,,"Quad City",ULAC,"Quad City Challenger II",CH2-0191-0629,,,,,,Private,,,1992,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-ULAC
28120212,"2026-01-13 23:49:48","2026-01-13 23:49:48",A779B1,"United States","United States",N123HL,,,,,,Cessna,C441,"Cessna 441 Conquest II",441-0010,,,,,,"H & L Equipment LLC",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C441
28119783,"2026-01-13 23:43:36","2026-01-13 23:43:36",A93C68,"United States","United States",N6943W,,,,,,Piper,P28A,"Piper PA-28 140 Cherokee",28-21123,,,,,,Private,,,1965,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
28119222,"2026-01-13 23:35:53","2026-01-13 23:35:53",4786FE,Norway,Norway,LN-KCD,,,,,,Reims/Cessna,C150,"Reims/Cessna F150H",0312,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C150
28119159,"2026-01-13 23:35:16","2026-01-13 23:35:16",A3C487,"United States","United States",N3418T,,,,,,Cessna,C177,"Cessna 177 Cardinal",17700718,,,,,,Private,,,1968,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C177
28119139,"2026-01-13 23:34:53","2026-01-13 23:34:53",A9791A,"United States","United States",N7095X,,,,,,Rans,RS12,"Rans Airaile S-12",0693426,,,,,,Private,,,1993,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-RS12
28119098,"2026-01-13 23:34:26","2026-01-13 23:34:26",A5312C,"United States","United States",N4334E,,,,,,Piper,PA38,"Piper PA-38 112 Tomahawk",38-78A0558,,,,,,Private,,,1978,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PA38
28118877,"2026-01-13 23:30:55","2026-01-13 23:30:55",A7287A,"United States","United States",N560S,,,,,,Cessna,C560,"Cessna Citation V",560-0017,,,,,,"RDS Wings LLC",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C560
28118856,"2026-01-13 23:30:44","2026-01-13 23:30:44",A02F12,"United States","United States",N11035,,,,,,Hughes,H500,"Hughes 369 D",90-0810D,,,,,,Private,,,1980,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-H500
28118649,"2026-01-13 23:28:14","2026-01-13 23:28:14",7CF90E,Australia,Australia,A17-038,,,,,,CAC,B06,"CAC Kiowa CA-32",44538,,,,,,"Royal Australian Army Aviation Corps",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
28118546,"2026-01-13 23:26:45","2026-01-13 23:26:45",A3A0B7,"United States","United States",N3328K,,,,,,Temco,GC1,"Temco Globe Swift GC-1B",1321,,,,,,Private,,,1946,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-GC1
28118380,"2026-01-13 23:24:42","2026-01-13 23:24:42",30035F,Italy,Italy,I-BBGR,,,,,,"Hawker Beechcraft Corp",H25B,"Hawker Beechcraft Corp Hawker 900XP",HA-0056,,,,,,"Aliven SRL",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,LVN
